SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500112,STATE BANK  ,A ,Q,273.00,278.05,272.00,277.40,277.40,272.70,15133,3954087,1091994431.00,
500113,STEEL AUTH. ,A ,Q,65.55,66.80,64.90,65.55,65.55,66.15,2614,784289,51607986.00,
500114,TITAN       ,A ,Q,387.95,390.00,377.60,379.70,379.70,387.95,1434,49580,18936021.00,
500116,IDBI BANK L ,A ,Q,82.80,85.80,82.60,85.00,85.00,82.80,5145,1137179,95892700.00,
500117,DCW LTD.    ,B ,Q,33.20,33.25,31.90,32.85,32.85,33.50,1288,424920,13911602.00,
500119,DHAMPUR SUGA,B ,Q,192.95,195.30,191.65,193.65,194.05,191.85,1328,99348,19204132.00,
500120,DIAMINES&CHM,XD,Q,56.00,58.50,56.00,57.15,57.15,56.90,54,5724,327212.00,
500123,ELANTAS     ,B ,Q,1790.00,1797.90,1740.25,1759.15,1747.00,1772.55,157,607,1068949.00,
500124,DR.REDDY'S  ,A ,Q,3112.05,3161.90,3085.00,3141.60,3141.60,3096.15,2661,31623,98959176.00,
500125,E.I.D.PAR   ,A ,Q,293.35,295.00,287.10,289.05,289.05,292.00,421,25853,7548568.00,
500126,MERCK LTD   ,B ,Q,990.00,997.00,972.00,981.15,980.00,986.80,322,3461,3397930.00,
500128,ELEC.CASTING,B ,Q,27.70,28.55,27.50,27.95,27.95,27.75,382,98723,2768973.00,
500132,EMPEE SUGARS,XD,Q,7.11,7.44,7.11,7.17,7.16,7.30,37,3217,23227.00,
500133,ESAB INDIA  ,B ,Q,590.00,590.00,580.05,589.50,590.00,585.45,23,713,419308.00,
500135,ESSEL PROP  ,B ,Q,248.00,251.50,245.00,247.80,247.00,251.00,315,5161,1277100.00,
